Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,02-Apr-2024,25-Apr-2024,CE,20400.00,2143.15,2179.70,2143.15,2179.70,2179.70,2179.70,3.00,33.83,3.23,4550.00,-50.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20450.00,-,-,-,1884.45,1884.45,2097.30,-,-,-,100.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20500.00,2039.60,2100.00,2000.00,2066.30,2064.75,2066.30,822.00,9264.12,838.62,309850.00,-33300.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20550.00,-,-,-,1357.05,-,1998.20,-,-,-,-,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20600.00,1933.80,1976.50,1933.75,1966.15,1976.50,1966.15,7.00,78.93,6.83,9450.00,100.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20650.00,-,-,-,1884.00,1884.00,1899.35,-,-,-,450.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20700.00,1825.20,1848.00,1823.05,1848.00,1848.00,1850.05,4.00,45.06,3.66,44800.00,50.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20750.00,-,-,-,1580.70,1580.70,1800.80,-,-,-,300.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20800.00,-,-,-,1796.65,1796.60,1751.65,-,-,-,23050.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20850.00,-,-,-,1139.95,-,1702.65,-,-,-,-,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20900.00,1669.80,1669.80,1669.80,1669.80,1669.80,1669.80,1.00,11.28,0.83,8400.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,20950.00,1644.90,1686.90,1644.90,1686.90,1686.90,1686.90,4.00,45.23,3.33,100.00,100.00,22453.30
